Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,100 Thieves,2,0,0,0,9,3,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,4,0,3,0,7,3,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Sentinels,7,3,2,1,4,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,7,1,2,1,8,1,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Sentinels,8,1,3,1,7,1,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,3,3,5,1,11,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,Cloud9,11,1,2,0,3,3,5,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,6,3,3,0,10,1,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,Cloud9,10,1,3,0,6,3,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,6,1,1,0,10,2,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Mega Minors,10,2,1,0,6,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,4,2,2,1,5,3,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Mega Minors,5,3,5,0,4,2,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,Breeze,LEVIATÁN,6,1,3,0,4,4,3,2
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,Breeze,MIBR,4,4,3,2,6,1,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,Haven,LEVIATÁN,5,2,3,0,10,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,Haven,MIBR,10,1,2,0,5,2,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Bind,KRÜ Esports,1,1,2,0,9,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Bind,100 Thieves,9,2,2,0,1,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Haven,KRÜ Esports,9,1,3,0,7,0,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Haven,100 Thieves,7,0,2,1,9,1,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Split,KRÜ Esports,6,0,0,0,8,0,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Split,100 Thieves,8,0,5,0,6,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Split,FURIA,10,1,1,1,1,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Split,Sentinels,1,0,3,0,10,1,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Breeze,FURIA,6,0,1,0,10,2,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Breeze,Sentinels,10,2,0,1,6,0,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Haven,FURIA,9,2,2,0,4,0,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Haven,Sentinels,4,0,2,1,9,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Lotus,LOUD,9,4,0,0,0,0,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Lotus,Cloud9,0,0,1,0,9,4,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Split,LOUD,4,2,2,0,9,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Split,Cloud9,9,2,2,0,4,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Breeze,LOUD,7,3,2,1,9,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Breeze,Cloud9,9,0,2,0,7,3,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,Haven,G2 Esports,10,0,3,0,4,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,Haven,ENVY,4,0,0,0,10,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,Lotus,G2 Esports,11,0,2,0,6,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,Lotus,ENVY,6,0,0,0,11,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Haven,KRÜ Esports,4,3,4,0,7,1,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Haven,Evil Geniuses,7,1,4,1,4,3,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Lotus,KRÜ Esports,11,2,0,0,8,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Lotus,Evil Geniuses,8,1,2,0,11,2,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Bind,KRÜ Esports,10,0,3,0,4,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Bind,Evil Geniuses,4,1,1,0,10,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Pearl,FURIA,11,2,0,0,7,1,1,0
