Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,Fracture,Team Heretics,7,1,2,0,9,0,4,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,Lotus,FNATIC,0,0,2,0,8,4,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,Lotus,Team Heretics,8,4,1,0,0,0,2,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,Ascent,FNATIC,8,0,5,0,10,1,1,3
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,Ascent,Team Heretics,10,1,1,3,8,0,5,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Eternal Fire vs Gentle Mates,Ascent,Eternal Fire,9,0,4,0,4,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Eternal Fire vs Gentle Mates,Ascent,Gentle Mates,4,0,1,0,9,0,4,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Eternal Fire vs Gentle Mates,Lotus,Eternal Fire,10,0,2,1,6,0,3,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Eternal Fire vs Gentle Mates,Lotus,Gentle Mates,6,0,3,0,10,0,2,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,Pearl,FUT Esports,11,1,3,0,11,2,4,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,Pearl,Team Vitality,11,2,4,0,11,1,3,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,Ascent,FUT Esports,8,3,1,1,5,1,1,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,Ascent,Team Vitality,5,1,1,1,8,3,1,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,Split,FUT Esports,9,1,0,2,9,4,1,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,Split,Team Vitality,9,4,1,0,9,1,0,2
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Lotus,Team Heretics,7,2,2,0,9,2,2,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Lotus,Eternal Fire,9,2,2,0,7,2,2,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Fracture,Team Heretics,10,1,2,0,8,1,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Fracture,Eternal Fire,8,1,1,0,10,1,2,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Ascent,Team Heretics,12,0,1,0,8,0,2,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Ascent,Eternal Fire,8,0,2,0,12,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,FUT Esports,10,0,5,0,7,1,5,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,Team Heretics,7,1,5,0,10,0,5,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,FUT Esports,3,0,1,0,11,0,2,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,Team Heretics,11,0,2,0,3,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,FUT Esports,3,2,1,0,10,0,2,1
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,Team Heretics,10,0,2,1,3,2,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,FUT Esports,1,0,0,0,11,1,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,Team Heretics,11,1,1,0,1,0,0,0
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,Team Vitality,9,0,2,2,6,2,2,0
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,Team Heretics,6,2,2,0,9,0,2,2
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,Team Vitality,8,1,4,0,8,1,4,2
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,Team Heretics,8,1,4,2,8,1,4,0
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Split,Team Vitality,6,1,4,0,8,2,0,3
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Split,Team Heretics,8,2,0,3,6,1,4,0
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Haven,Team Vitality,9,1,3,0,11,0,4,0
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Haven,Team Heretics,11,0,4,0,9,1,3,0
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Pearl,Team Vitality,10,0,3,0,2,1,2,2
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Pearl,Team Heretics,2,1,2,2,10,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Gen.G vs Global Esports,Bind,Gen.G,5,1,2,0,9,3,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Gen.G vs Global Esports,Bind,Global Esports,9,3,1,0,5,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Gen.G vs Global Esports,Split,Gen.G,4,0,0,0,9,0,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Gen.G vs Global Esports,Split,Global Esports,9,0,4,0,4,0,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,Haven,T1,9,3,1,0,9,1,0,1
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,Haven,VARREL,9,1,0,1,9,3,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,Pearl,T1,10,0,3,0,1,0,1,2
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,Pearl,VARREL,1,0,1,2,10,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Fracture,Nongshim RedForce,9,2,3,1,7,1,5,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Fracture,Paper Rex,7,1,5,0,9,2,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,9,0,1,0,11,0,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Split,Paper Rex,11,0,1,1,9,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Lotus,Nongshim RedForce,4,2,0,0,12,1,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Lotus,Paper Rex,12,1,0,0,4,2,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,Pearl,FULL SENSE,8,2,3,0,4,0,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,Pearl,DetonatioN FocusMe,4,0,2,0,8,2,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,Bind,FULL SENSE,9,2,1,1,6,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,6,1,1,0,9,2,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Pearl,Team Secret,3,1,1,0,7,5,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Pearl,Kiwoom DRX,7,5,1,0,3,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Fracture,Team Secret,9,2,2,0,11,2,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Fracture,Kiwoom DRX,11,2,2,0,9,2,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Split,Rex Regum Qeon,4,1,2,0,4,2,7,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Split,ZETA DIVISION,4,2,7,0,4,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Fracture,Rex Regum Qeon,9,0,4,0,4,2,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Fracture,ZETA DIVISION,4,2,0,0,9,0,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Haven,Rex Regum Qeon,8,2,1,2,8,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Haven,ZETA DIVISION,8,2,1,0,8,2,1,2
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,Pearl,DetonatioN FocusMe,5,2,6,0,12,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,Pearl,T1,12,1,2,0,5,2,6,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,Lotus,DetonatioN FocusMe,3,0,2,1,6,1,6,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,Lotus,T1,6,1,6,0,3,0,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Haven,Nongshim RedForce,8,1,2,0,11,0,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Haven,Kiwoom DRX,11,0,2,0,8,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Fracture,Nongshim RedForce,9,3,2,1,11,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Fracture,Kiwoom DRX,11,1,1,0,9,3,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Lotus,Nongshim RedForce,6,2,0,2,8,0,5,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Lotus,Kiwoom DRX,8,0,5,0,6,2,0,2
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Split,Team Secret,6,1,1,1,8,3,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Split,Global Esports,8,3,2,0,6,1,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Lotus,Team Secret,1,4,4,0,10,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Lotus,Global Esports,10,2,1,0,1,4,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Bind,Rex Regum Qeon,7,3,1,2,5,4,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Bind,VARREL,5,4,2,0,7,3,1,2
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Split,Rex Regum Qeon,9,3,4,0,8,3,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Split,VARREL,8,3,3,0,9,3,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,Fracture,FULL SENSE,8,1,4,0,4,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,Fracture,ZETA DIVISION,4,1,1,0,8,1,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,Split,FULL SENSE,11,0,1,1,6,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,Split,ZETA DIVISION,6,0,1,0,11,0,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Haven,Gen.G,12,0,5,0,11,1,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Haven,Paper Rex,11,1,3,0,12,0,5,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,Gen.G,3,0,0,0,8,2,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,Paper Rex,8,2,3,0,3,0,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Lotus,Gen.G,9,2,2,0,3,0,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Lotus,Paper Rex,3,0,0,0,9,2,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,Haven,FULL SENSE,11,0,2,0,2,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,Haven,VARREL,2,0,3,0,11,0,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,Lotus,FULL SENSE,8,3,3,0,9,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,Lotus,VARREL,9,2,1,0,8,3,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Breeze,Team Secret,3,0,1,0,9,0,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Breeze,Paper Rex,9,0,4,0,3,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Split,Team Secret,9,2,5,0,9,1,6,2
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Split,Paper Rex,9,1,6,2,9,2,5,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Fracture,Kiwoom DRX,8,3,2,0,3,2,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Fracture,Global Esports,3,2,3,0,8,3,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Haven,Kiwoom DRX,7,2,3,1,4,3,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Haven,Global Esports,4,3,2,0,7,2,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,Bind,ZETA DIVISION,8,1,4,0,6,1,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,6,1,2,1,8,1,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,Lotus,ZETA DIVISION,4,0,3,0,9,1,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,9,1,3,0,4,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,Pearl,ZETA DIVISION,2,1,2,0,9,3,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,Pearl,DetonatioN FocusMe,9,3,1,0,2,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Pearl,Rex Regum Qeon,2,1,3,2,8,2,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Pearl,T1,8,2,3,0,2,1,3,2
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Bind,Rex Regum Qeon,6,0,3,1,8,1,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Bind,T1,8,1,4,0,6,0,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Pearl,Nongshim RedForce,11,1,1,0,3,1,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Pearl,Gen.G,3,1,3,1,11,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Breeze,Nongshim RedForce,7,5,1,0,2,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Breeze,Gen.G,2,0,1,0,7,5,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Pearl,Rex Regum Qeon,6,1,2,0,4,2,5,2
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Pearl,FULL SENSE,4,2,5,2,6,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Haven,Rex Regum Qeon,9,0,4,0,5,3,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Haven,FULL SENSE,5,3,2,0,9,0,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Fracture,Rex Regum Qeon,8,3,2,0,0,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Fracture,FULL SENSE,0,2,1,0,8,3,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Split,Paper Rex,11,0,1,1,1,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Split,Global Esports,1,1,1,0,11,0,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Pearl,Paper Rex,7,1,4,1,3,0,4,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Pearl,Global Esports,3,0,4,1,7,1,4,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Haven,Gen.G,7,0,5,1,2,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Haven,Kiwoom DRX,2,0,1,0,7,0,5,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Pearl,Gen.G,3,3,3,1,10,0,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Pearl,Kiwoom DRX,10,0,2,1,3,3,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Lotus,Gen.G,9,1,6,1,12,0,7,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Lotus,Kiwoom DRX,12,0,7,0,9,1,6,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,Lotus,DetonatioN FocusMe,7,2,4,0,8,0,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,Lotus,VARREL,8,0,2,1,7,2,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,Haven,DetonatioN FocusMe,5,3,0,2,9,1,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,Haven,VARREL,9,1,3,0,5,3,0,2
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,Fracture,DetonatioN FocusMe,7,3,3,0,5,0,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,Fracture,VARREL,5,0,4,0,7,3,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,Haven,T1,10,1,2,0,6,0,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,Haven,ZETA DIVISION,6,0,0,0,10,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,Lotus,T1,11,1,1,0,4,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,Lotus,ZETA DIVISION,4,2,1,0,11,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Breeze,Nongshim RedForce,11,0,2,0,3,3,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Breeze,Team Secret,3,3,1,1,11,0,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Fracture,Nongshim RedForce,4,3,1,0,10,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Fracture,Team Secret,10,1,2,0,4,3,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Pearl,Nongshim RedForce,10,1,2,0,5,0,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Pearl,Team Secret,5,0,0,0,10,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Split,Gen.G,9,0,2,0,7,1,4,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Split,Team Secret,7,1,4,1,9,0,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Lotus,Gen.G,12,0,1,0,7,1,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Lotus,Team Secret,7,1,2,1,12,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Breeze,Gen.G,6,1,0,0,7,0,6,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Breeze,Team Secret,7,0,6,0,6,1,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,Bind,VARREL,9,1,3,0,7,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,Bind,ZETA DIVISION,7,2,1,0,9,1,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,Breeze,VARREL,6,0,3,0,9,0,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,Breeze,ZETA DIVISION,9,0,3,1,6,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,Fracture,VARREL,6,0,3,0,11,1,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,Fracture,ZETA DIVISION,11,1,1,0,6,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,Pearl,T1,9,2,1,1,3,0,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,Pearl,FULL SENSE,3,0,2,0,9,2,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,Bind,T1,6,1,0,0,6,2,5,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,Bind,FULL SENSE,6,2,5,0,6,1,0,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,Breeze,T1,7,2,3,1,5,1,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,Breeze,FULL SENSE,5,1,3,0,7,2,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Breeze,Nongshim RedForce,2,2,1,0,9,0,4,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Breeze,Global Esports,9,0,4,0,2,2,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Bind,Nongshim RedForce,9,2,1,1,7,2,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Bind,Global Esports,7,2,2,0,9,2,1,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Haven,Nongshim RedForce,9,0,3,0,11,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Haven,Global Esports,11,0,3,0,9,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Breeze,Paper Rex,8,0,5,0,4,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Breeze,Kiwoom DRX,4,0,1,0,8,0,5,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Lotus,Paper Rex,10,0,2,1,4,0,1,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Lotus,Kiwoom DRX,4,0,1,0,10,0,2,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Haven,Rex Regum Qeon,8,2,2,0,11,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Haven,DetonatioN FocusMe,11,0,3,0,8,2,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Lotus,Rex Regum Qeon,11,0,3,0,7,1,3,1
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,7,1,3,1,11,0,3,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Fracture,Rex Regum Qeon,9,1,3,0,5,1,2,0
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Fracture,DetonatioN FocusMe,5,1,2,0,9,1,3,0
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Breeze,Rex Regum Qeon,6,3,2,0,7,2,4,0
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Breeze,Global Esports,7,2,4,0,6,3,2,0
