Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,LEVIATÁN,Eco (won),4,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,LEVIATÁN,$ (won),1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,LEVIATÁN,$$ (won),10,8
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,LEVIATÁN,$$$ (won),22,13
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,Eco (won),2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,$ (won),2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,$$ (won),2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,$$$ (won),14,11
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,Mega Minors,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,Mega Minors,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,Mega Minors,$ (won),2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,Mega Minors,$$ (won),8,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,Mega Minors,$$$ (won),7,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,$$ (won),4,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,$$$ (won),15,10
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,Mega Minors,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,Mega Minors,Eco (won),2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,Mega Minors,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,Mega Minors,$$ (won),7,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,Mega Minors,$$$ (won),13,5
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,FURIA,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,FURIA,Eco (won),5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,FURIA,$ (won),3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,FURIA,$$ (won),6,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,FURIA,$$$ (won),29,21
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,Mega Minors,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,Mega Minors,Eco (won),5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,Mega Minors,$ (won),3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,Mega Minors,$$ (won),15,7
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,All Maps,Mega Minors,$$$ (won),20,8
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,$$ (won),6,4
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,$$$ (won),15,8
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,ENVY,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,ENVY,Eco (won),4,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,ENVY,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,ENVY,$$ (won),5,4
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,ENVY,$$$ (won),14,6
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,$ (won),2,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,$$ (won),4,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,$$$ (won),9,3
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,ENVY,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,ENVY,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,ENVY,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,ENVY,$$ (won),2,2
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,ENVY,$$$ (won),13,10
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,$$ (won),8,4
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,$$$ (won),11,4
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,ENVY,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,ENVY,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,ENVY,$ (won),2,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,ENVY,$$ (won),3,3
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,ENVY,$$$ (won),14,8
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,All Maps,Cloud9,Pistol Won,,3
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,All Maps,Cloud9,Eco (won),9,3
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,All Maps,Cloud9,$ (won),2,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,All Maps,Cloud9,$$ (won),18,9
