Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
VCT 2026: China Stage 1,Group Stage,Week 2,EDward Gaming vs Trace Esports,EDward Gaming,Trace Esports,2,0,EDward Gaming won
VCT 2026: China Stage 1,Group Stage,Week 2,JDG Esports vs All Gamers,JDG Esports,All Gamers,0,2,All Gamers won
VCT 2026: China Stage 1,Group Stage,Week 2,Dragon Ranger Gaming vs Wolves Esports,Dragon Ranger Gaming,Wolves Esports,2,1,Dragon Ranger Gaming won
VCT 2026: China Stage 1,Group Stage,Week 2,Nova Esports vs Trace Esports,Nova Esports,Trace Esports,0,2,Trace Esports won
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs Bilibili Gaming,FunPlus Phoenix,Bilibili Gaming,1,2,Bilibili Gaming won
VCT 2026: China Stage 1,Group Stage,Week 2,All Gamers vs TYLOO,All Gamers,TYLOO,1,2,TYLOO won
VCT 2026: China Stage 1,Group Stage,Week 2,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,2,1,EDward Gaming won
VCT 2026: China Stage 1,Group Stage,Week 2,JDG Esports vs Titan Esports Club,JDG Esports,Titan Esports Club,2,0,JDG Esports won
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Wolves Esports,Xi Lai Gaming,Wolves Esports,2,1,Xi Lai Gaming won
VCT 2026: China Stage 1,Group Stage,Week 3,TYLOO vs JDG Esports,TYLOO,JDG Esports,0,2,JDG Esports won
VCT 2026: China Stage 1,Group Stage,Week 3,Trace Esports vs Dragon Ranger Gaming,Trace Esports,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won
VCT 2026: China Stage 1,Group Stage,Week 3,Titan Esports Club vs FunPlus Phoenix,Titan Esports Club,FunPlus Phoenix,2,0,Titan Esports Club won
VCT 2026: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,All Gamers,Bilibili Gaming,2,1,All Gamers won
VCT 2026: China Stage 1,Group Stage,Week 3,Nova Esports vs Wolves Esports,Nova Esports,Wolves Esports,2,0,Nova Esports won
VCT 2026: China Stage 1,Group Stage,Week 3,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,1,2,Xi Lai Gaming won
VCT 2026: China Stage 1,Group Stage,Seeding,TYLOO vs Dragon Ranger Gaming,TYLOO,Dragon Ranger Gaming,2,0,TYLOO won
VCT 2026: China Stage 1,Group Stage,Seeding,JDG Esports vs EDward Gaming,JDG Esports,EDward Gaming,1,2,EDward Gaming won
VCT 2026: China Stage 1,Group Stage,Seeding,Titan Esports Club vs Trace Esports,Titan Esports Club,Trace Esports,1,2,Trace Esports won
VCT 2026: China Stage 1,Group Stage,Seeding,All Gamers vs Xi Lai Gaming,All Gamers,Xi Lai Gaming,1,2,Xi Lai Gaming won
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Titan Esports Club,Xi Lai Gaming,Titan Esports Club,2,0,Xi Lai Gaming won
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,JDG Esports vs TYLOO,JDG Esports,TYLOO,2,1,JDG Esports won
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,All Gamers vs Trace Esports,All Gamers,Trace Esports,2,0,All Gamers won
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,2,1,EDward Gaming won
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs TYLOO,Titan Esports Club,TYLOO,1,2,TYLOO won
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Trace Esports vs Dragon Ranger Gaming,Trace Esports,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won
VCT 2026: China Stage 1,Playoffs,Upper Semifinals,Xi Lai Gaming vs JDG Esports,Xi Lai Gaming,JDG Esports,2,0,Xi Lai Gaming won
VCT 2026: China Stage 1,Playoffs,Upper Semifinals,All Gamers vs EDward Gaming,All Gamers,EDward Gaming,0,2,EDward Gaming won
VCT 2026: China Stage 1,Playoffs,Lower Round 2,JDG Esports vs Dragon Ranger Gaming,JDG Esports,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won
VCT 2026: China Stage 1,Playoffs,Lower Round 2,All Gamers vs TYLOO,All Gamers,TYLOO,2,1,All Gamers won
VCT 2026: China Stage 1,Playoffs,Upper Final,Xi Lai Gaming vs EDward Gaming,Xi Lai Gaming,EDward Gaming,0,2,EDward Gaming won
VCT 2026: China Stage 1,Playoffs,Lower Round 3,All Gamers vs Dragon Ranger Gaming,All Gamers,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won
VCT 2026: China Stage 1,Playoffs,Lower Final,Xi Lai Gaming vs Dragon Ranger Gaming,Xi Lai Gaming,Dragon Ranger Gaming,3,1,Xi Lai Gaming won
VCT 2026: China Stage 1,Playoffs,Grand Final,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,3,2,EDward Gaming won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Gentle Mates,EDward Gaming,2,0,Gentle Mates won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Xi Lai Gaming,Mega Minors,0,2,NRG won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,G2 Esports,Paper Rex,0,2,Paper Rex won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,T1,Team Liquid,0,2,Team Liquid won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Paper Rex,Mega Minors,2,1,Paper Rex won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Gentle Mates,Team Liquid,2,0,Gentle Mates won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,EDward Gaming,T1,0,2,T1 won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Xi Lai Gaming,G2 Esports,0,2,G2 Esports won
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Mega Minors,Team Liquid,2,0,NRG won
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,G2 Esports,T1,2,0,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,FURIA,Paper Rex,1,2,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Nongshim RedForce,Gentle Mates,2,0,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,BBL Esports,Mega Minors,1,2,NRG won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,All Gamers,G2 Esports,0,2,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,FURIA,BBL Esports,1,2,BBL Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Gentle Mates,All Gamers,1,2,All Gamers won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Nongshim RedForce,G2 Esports,2,1,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Paper Rex,Mega Minors,0,2,NRG won
