Tournament,Stage,Match Type,Match Name,Team,Action,Map
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,MIBR,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,LEVIATÁN,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,100 Thieves,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,KRÜ Esports,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,100 Thieves,pick,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,KRÜ Esports,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,100 Thieves,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,KRÜ Esports,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,FURIA,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Sentinels,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,FURIA,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Sentinels,pick,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,FURIA,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Sentinels,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,LOUD,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Cloud9,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,LOUD,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Cloud9,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,LOUD,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Cloud9,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,G2 Esports,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,ENVY,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,G2 Esports,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,ENVY,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,G2 Esports,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,ENVY,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Evil Geniuses,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,KRÜ Esports,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Evil Geniuses,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,KRÜ Esports,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Evil Geniuses,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,KRÜ Esports,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,100 Thieves,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,FURIA,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,100 Thieves,pick,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,FURIA,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,100 Thieves,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,FURIA,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Cloud9,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Cloud9,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Cloud9,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,ENVY,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,MIBR,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,ENVY,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,MIBR,pick,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,ENVY,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,MIBR,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LEVIATÁN,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LOUD,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LEVIATÁN,pick,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LOUD,pick,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LEVIATÁN,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LOUD,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Mega Minors,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Sentinels,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Mega Minors,pick,Fracture
