Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,d4v41,vyse,5,,1,,,,,,,61,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,something,yoru,2,,,,,,,,,48,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,Inspire,"brimstone, viper",11,3,1,,2,,,,,56,3,2
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,Rossy,"omen, viper",9,5,,,1,,,,,53,2,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,keznit,"iso, waylay",8,,,,1,,,,,45,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,P0PPIN,"fade, skye, sova",4,,,,,,,,,35,17,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,ENVY,Eggsterr,yoru,10,6,1,,,,,,,54,2,3
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,C0M,"fade, sova",4,2,,,,1,,,,47,10,2
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,supamen,"astra, viper",7,2,,,,,,,,52,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,Okeanos,"breach, yoru",10,4,1,,,,,,,51,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,dgzin,"waylay, yoru",13,1,,,,,,,,48,1,6
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,All Maps,Evil Geniuses,bao,"brimstone, omen, veto",10,1,1,,,,,,,49,7,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,Inspire,viper,4,,1,,,,,,,57,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,Rossy,omen,3,2,,,,,,,,55,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,keznit,iso,2,,,,,,,,,40,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,P0PPIN,sova,,,,,,,,,,22,6,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,Eggsterr,yoru,1,2,,,,,,,,46,0,3
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,C0M,sova,2,,,,,,,,,58,3,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,supamen,astra,1,,,,,,,,,32,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,Okeanos,breach,4,1,,,,,,,,47,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,dgzin,yoru,6,1,,,,,,,,57,1,3
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,Evil Geniuses,bao,veto,4,1,1,,,,,,,67,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,Inspire,viper,5,,,,1,,,,,56,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,Rossy,omen,4,2,,,1,,,,,53,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,keznit,waylay,2,,,,1,,,,,42,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,P0PPIN,fade,3,,,,,,,,,53,6,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,Eggsterr,yoru,5,1,,,,,,,,48,2,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,C0M,sova,,2,,,,,,,,44,5,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,supamen,viper,3,1,,,,,,,,52,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,Okeanos,yoru,3,2,1,,,,,,,65,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,dgzin,waylay,5,,,,,,,,,52,0,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,Evil Geniuses,bao,omen,2,,,,,,,,,23,2,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,Inspire,brimstone,2,3,,,1,,,,,55,2,1
