Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,7,G2 Esports,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,8,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,8,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,9,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,9,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,10,MIBR,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,10,G2 Esports,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,11,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,11,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,12,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,12,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,13,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,13,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,14,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,14,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,15,G2 Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,15,MIBR,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,16,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,16,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,17,MIBR,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,17,G2 Esports,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,18,MIBR,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,18,G2 Esports,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,19,G2 Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,19,MIBR,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,20,MIBR,Elimination,Win
