Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Lotus,Team Heretics,9,5,4,,Natus Vincere,13,6,7,,53:08
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Bind,Team Heretics,9,5,4,,Natus Vincere,13,6,7,,53:52
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,Split,BBL Esports,13,8,5,,PCIFIC Esports,11,7,4,,55:08
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,Breeze,BBL Esports,13,7,6,,PCIFIC Esports,8,3,5,,45:10
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Haven,PCIFIC Esports,8,4,4,,GIANTX,13,5,8,,43:24
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Pearl,PCIFIC Esports,14,3,9,2,GIANTX,12,3,9,0,58:02
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Split,PCIFIC Esports,10,7,3,,GIANTX,13,8,5,,48:55
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,Pearl,BBL Esports,6,2,4,,Eternal Fire,13,3,10,,39:56
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,Split,BBL Esports,10,8,2,,Eternal Fire,13,9,4,,47:44
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,Split,FNATIC,13,6,7,,Team Vitality,11,5,6,,53:03
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,Breeze,FNATIC,13,7,6,,Team Vitality,10,5,5,,49:01
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Pearl,Team Liquid,13,8,5,,Team Heretics,10,6,4,,55:51
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Bind,Team Liquid,13,7,6,,Team Heretics,8,3,5,,43:08
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Fracture,FUT Esports,9,5,4,,Natus Vincere,13,6,7,,53:28
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Bind,FUT Esports,13,6,7,,Natus Vincere,9,3,6,,50:25
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Split,FUT Esports,13,6,7,,Natus Vincere,6,0,6,,42:53
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Fracture,Gentle Mates,13,5,8,,Karmine Corp,9,2,7,,48:15
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Haven,Gentle Mates,9,6,3,,Karmine Corp,13,7,6,,46:24
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Pearl,Gentle Mates,13,7,6,,Karmine Corp,9,4,5,,46:37
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Haven,BBL Esports,11,4,7,,GIANTX,13,5,8,,53:28
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Lotus,BBL Esports,13,8,5,,GIANTX,7,3,4,,46:23
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Split,BBL Esports,9,7,2,,GIANTX,13,8,5,,48:35
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Pearl,Gentle Mates,13,3,10,,Natus Vincere,10,1,9,,1:05:15
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Lotus,Gentle Mates,13,7,6,,Natus Vincere,8,3,5,,46:37
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Bind,Eternal Fire,13,9,4,,Team Vitality,11,8,3,,55:58
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Lotus,Eternal Fire,13,6,7,,Team Vitality,6,0,6,,42:34
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Haven,Karmine Corp,13,9,4,,Team Heretics,6,3,3,,42:22
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Lotus,Karmine Corp,2,2,0,,Team Heretics,13,3,10,,28:19
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Fracture,Karmine Corp,7,3,4,,Team Heretics,13,4,9,,40:15
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,Breeze,FUT Esports,13,8,5,,Team Liquid,9,5,4,,51:13
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,Haven,FUT Esports,15,6,6,3,Team Liquid,13,6,6,1,1:01:32
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,Split,PCIFIC Esports,11,7,4,,FNATIC,13,8,5,,55:25
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,Lotus,PCIFIC Esports,4,2,2,,FNATIC,13,3,10,,36:11
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Split,Eternal Fire,9,4,5,,PCIFIC Esports,13,5,8,,42:26
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Fracture,Eternal Fire,13,4,9,,PCIFIC Esports,11,3,8,,49:05
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Lotus,Eternal Fire,13,9,4,,PCIFIC Esports,11,8,3,,47:40
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Bind,Natus Vincere,9,8,1,,Team Liquid,13,9,4,,50:01
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Split,Natus Vincere,13,8,5,,Team Liquid,9,5,4,,49:22
