Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Karmine Corp vs FUT Esports,644731,Bind,258404
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Gentle Mates vs Team Heretics,644732,Fracture,258405
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Gentle Mates vs Team Heretics,644732,Lotus,258406
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,BBL Esports vs Team Vitality,644733,Lotus,258408
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,BBL Esports vs Team Vitality,644733,Haven,258409
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,BBL Esports vs Team Vitality,644733,Breeze,258410
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Team Heretics vs FUT Esports,644734,Lotus,258411
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Team Heretics vs FUT Esports,644734,Split,258412
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Team Vitality vs PCIFIC Esports,644735,Haven,258414
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Team Vitality vs PCIFIC Esports,644735,Split,258415
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Natus Vincere vs Karmine Corp,644736,Lotus,258417
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Natus Vincere vs Karmine Corp,644736,Breeze,258418
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,BBL Esports vs FNATIC,644737,Haven,258420
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,BBL Esports vs FNATIC,644737,Fracture,258421
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,GIANTX vs Eternal Fire,644738,Split,258423
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,GIANTX vs Eternal Fire,644738,Breeze,258424
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Gentle Mates vs Team Liquid,644739,Split,258426
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,Gentle Mates vs Team Liquid,644739,Lotus,258427
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,Eternal Fire vs Team Heretics,660381,Fracture,265462
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,Eternal Fire vs Team Heretics,660381,Pearl,265463
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,Eternal Fire vs Team Heretics,660381,Lotus,265464
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,Team Liquid vs Team Vitality,660382,Pearl,265465
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,Team Liquid vs Team Vitality,660382,Ascent,265466
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,Team Liquid vs Team Vitality,660382,Lotus,265467
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Semifinals,FUT Esports vs Eternal Fire,660383,Pearl,265468
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Semifinals,FUT Esports vs Eternal Fire,660383,Ascent,265469
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Semifinals,FUT Esports vs Eternal Fire,660383,Split,265470
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Semifinals,FNATIC vs Team Vitality,660384,Breeze,265471
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Semifinals,FNATIC vs Team Vitality,660384,Haven,265472
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 1,Team Heretics vs BBL Esports,660387,Breeze,265482
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 1,Team Heretics vs BBL Esports,660387,Ascent,265483
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 1,Team Liquid vs Gentle Mates,660388,Split,265485
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 1,Team Liquid vs Gentle Mates,660388,Ascent,265486
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 1,Team Liquid vs Gentle Mates,660388,Fracture,265487
